Governorate,Population,Hospitals_numbers,Beds_numbers,Intensive_Care_Beds_numbers,Incubators_numbers,Dialysis_Devices_numbers,Respirators_numbers,Visitors_numbers,Hospital-percentage,Beds_percentage,Intensive_care_beds_percentage,Incubators_percentage,Dialysis_devices_percentage,Respirators_percentage,Visitors_numbers_percentage
Beheira,6878289,30,3333,60,99,140,187,327599,0.000436155,0.048456818,0.00087231,0.001439311,0.00203539,0.002718699,4.762797841
Alexandria,5546663,37,7114,132,56,195,261,891186,0.000667068,0.128257296,0.002379809,0.001009616,0.003515627,0.004705532,16.06706591
Gharbia,5439085,37,4718,123,156,79,165,492209,0.000680261,0.086742531,0.00226141,0.002868129,0.00145245,0.003033598,9.049481668
Sharqia,7909342,38,4761,344,337,688,194,137186,0.000480445,0.060194641,0.004349287,0.004260784,0.008698574,0.002452796,1.734480567
Aswan,1656218,19,1039,26,70,72,35,69148,0.001147192,0.062733288,0.001569842,0.004226497,0.004347254,0.002113248,4.17505425
Asyut,5061934,32,5038,61,167,369,86,447558,0.000632169,0.099527177,0.001205073,0.003299134,0.007289704,0.001698955,8.841640369
Cairo,10248385,102,18095,127,133,253,239,947964,0.000995279,0.176564405,0.00123922,0.001297765,0.002468682,0.002332075,9.249886689
Dakahlia,7050004,45,6291,296,336,500,22,379665,0.000638298,0.089233992,0.004198579,0.004765955,0.007092195,0.000312057,5.385316093
Damietta,1618239,21,2272,137,98,216,86,449582,0.001297707,0.140399533,0.008465993,0.006055966,0.013347843,0.005314419,27.78217556
New Valley,266926,8,36,19,11,463,8,14980,0.002997085,0.013486884,0.007118078,0.004120992,0.173456314,0.002997085,5.612042289
Fayoum,4080645,13,1769,66,161,228,44,417847,0.000318577,0.04335099,0.001617391,0.003945455,0.005587352,0.001078261,10.23972926
Giza,9514540,35,3887,263,224,377,228,285663,0.000367858,0.040853262,0.00276419,0.002354291,0.003962357,0.002396332,3.00238372
Ismailia,1452743,13,1224,5,17,80,30,87170,0.000894859,0.084254407,0.000344176,0.0011702,0.005506824,0.002065059,6.000373087
Kafr ElSheikh,3718316,24,229,180,160,1997,24,337980,0.000645453,0.006158702,0.004840901,0.004303023,0.053707108,0.000645453,9.089598625
Qalyubia,6137688,29,5416,75,52,178,62,367635,0.000472491,0.088241696,0.001221958,0.000847225,0.002900115,0.001010152,5.989796158
Luxor,1400640,15,962,8,10,14,9,119596,0.001070939,0.068682888,0.000571167,0.000713959,0.000999543,0.000642563,8.538668037
Matruh,547702,5,336,78,59,79,93,10878,0.000912905,0.061347229,0.014241321,0.010772281,0.014423902,0.016980037,1.986116538
Minya,6337595,36,3256,72,126,123,49,461697,0.000568039,0.051375956,0.001136078,0.001988136,0.001940799,0.000773164,7.285050559
Menoufia,4736945,32,3537,45,17,4,109,392356,0.000675541,0.074668378,0.000949979,0.000358881,8.44E-05,0.002301061,8.282891188
Port Said,791749,5,137,5,210,451,167,64109,0.000631513,0.017303464,0.000631513,0.026523557,0.056962497,0.021092543,8.097136845
Qena,3640916,19,1760,38,128,252,43,127367,0.000521847,0.048339484,0.001043693,0.003515599,0.006921335,0.001181021,3.498213087
Red Sea,403077,7,398,39,34,47,40,23062,0.001736641,0.098740439,0.009675571,0.008435113,0.011660303,0.009923662,5.721487458
North Sinai,508109,8,287,45,58,91,33,7688211,0.001574465,0.056483943,0.008856367,0.011414874,0.017909543,0.006494669,1513.1027
Sohag,5727271,27,2489,107,186,388,25,453069,0.000471429,0.043458743,0.001868255,0.00324762,0.006774605,0.000436508,7.910730957
South Sinai,116479,4,31,27,17,237,4,,0.003434095,0.026614239,0.023180144,0.014594906,0.203470153,0.003434095,
Suez,792551,10,602,17,24,58,45,180240,0.001261748,0.075957257,0.002144972,0.003028196,0.007318141,0.005677868,22.74175416
Beni Suef,3592039,13,1616,37,87,171,68,198467,0.000361911,0.044988376,0.001030056,0.002422023,0.004760527,0.001893075,5.525190567
