city,أدبي,علمي رياضة,علمي علوم,total_mean
اسوان,62.303104643104646,58.881589041095886,60.44260524091293,60.542432975037826
اسيوط,63.250897435897436,58.385600000000004,62.820906735751294,61.485801390549575
الإسماعيلية,64.12051638269986,70.8383973187081,67.70836989952839,67.55576120031212
الاسكندرية,65.2165858136838,67.05596487252124,63.58934304484433,65.28729791034979
الاقصر,61.30483034872762,60.923508064516135,59.45922636103152,60.56252159142509
البحر الأحمر,64.63872406639004,63.91803278688525,62.55725700164744,63.704671284974246
البحيرة,63.12710381702064,68.08308111050626,64.60754391217564,65.27257627990083
الجيزة,60.329053210801,63.183309252570155,59.09665940892062,60.86967395743059
الدقهلية,69.7898566272308,76.00622950819672,74.78154337255485,73.52587650266078
السويس,67.80234375,64.73652880354504,64.02403479701739,65.52096911685415
الشرقية,65.9062460815047,71.56194503492256,70.66428689675028,69.37749267105919
الغربية,69.68172588832488,75.1551425091352,71.32577940227908,72.05421593324638
الفيوم,58.758144771120215,59.56499386503068,59.72689239755408,59.350010344568325
القاهرة,63.92590874039407,65.28479374779646,62.03490582715713,63.74853610511588
القليوبية,64.5610596157655,67.36996906235126,65.28296556303955,65.73799808038545
المنوفية,66.85286752185266,70.4466514979143,69.04951128921904,68.78301010299533
المنيا,60.82101528845342,58.459290748898674,59.39361036594625,59.55797213443278
الوادي الجديد,63.135462068965516,67.81612403100776,68.70936890045543,66.55365166680957
بني سويف,60.60765023515067,64.66188079470199,62.27922586174063,62.51625229719776
بورسعيد,74.7382932330827,77.30965473948525,72.9996423192771,75.01586343061501
جنوب سيناء,70.46859296482413,71.27344086021506,72.736125,71.4927196083464
دمياط,70.70098591549295,71.6470036477332,70.9902798206278,71.11275646128466
سوهاج,66.87215596330275,62.4414705882353,58.96569565217391,62.75977406790398
شمال سيناء,73.22828467153285,84.16445595854923,78.84164669329783,78.74479577445997
قنا,63.911376811594195,69.13411917098446,67.1337375886525,66.72641119041037
كفر الشيخ,64.87754862385322,70.37315720808871,68.81332767676768,68.0213445029032
مطروح,60.643922518159805,67.91136363636363,62.69421734795613,63.74983450082652
