Governorate,public_teachers_numbers_2022,public_students_numbers_2022,public_teachers_numbers_2023,public_students_numbers_2023,private_teachers_numbers_2022,private_students_numbers_2022,private_teachers_numbers_2023,private_students_numbers_2023
Alexandria,4864,103426,4864,103426,1918,44033,1948,46369
Port Said,1193,12791,1193,12791,78,2545,93,2640
Suez,728,8778,728,8778,137,2831,139,2973
Damietta,2503,33864,2503,33864,40,2768,44,3996
Dakahlia,5755,136148,5755,136148,330,9751,430,12093
Sharqia,8090,134354,8090,134354,410,16688,404,17412
Qalyubia,6091,101655,6091,101655,589,31952,678,33626
Kafr ElSheikh,3793,64190,3793,64190,28,4900,15,5465
Gharbia,5320,93463,5320,93463,222,11075,243,13745
Menoufia,4903,92538,4903,92538,87,6442,85,9321
Beheira,3723,80665,3723,80665,117,20166,103,22689
Ismailia,1385,23504,1385,23504,88,4705,101,5590
Giza,5807,174096,5807,174096,2001,56895,2110,68513
Beni Suef,2528,41497,2528,41497,93,7911,103,8886
Fayoum,1852,37795,1852,37795,114,9257,146,10638
Minya,4781,80589,4781,80589,65,6712,69,9066
Asyut,3638,59829,3638,59829,161,12548,161,12957
Sohag,3209,62511,3209,62511,240,9923,268,13941
Qena,2889,40087,2889,40087,24,1932,20,2466
Luxor,969,16356,969,16356,16,1635,20,2091
Aswan,1535,17348,1535,17348,50,1732,49,2139
Red Sea,594,7210,594,7210,90,2123,106,2305
New Valley,1027,5302,1027,5302,7,84,4,121
Matruh,337,5311,337,5311,6,1055,6,1413
North Sinai,959,9722,959,9722,9,462,12,582
South Sinai,317,2650,317,2650,31,321,34,468
