,Governorate,Place_of_residence,Gender,Total,High_Education,Medium_Education,Technical_Education,Secondary_Education,Below_Secondary_Education,Illiterate,Semiliterate
0,Cairo,Total,Total,29019,9816,1808,7621,882,3605,2096,3191
1,Alexandria,Total,Total,17435,5124,1106,4900,368,3339,1611,986
2,Port Said,Total,Total,3220,1391,167,1148,28,198,132,155
3,Suez,Total,Total,2309,679,93,916,32,302,124,164
4,Damietta,Total,Total,5513,1163,265,1746,134,865,627,712
5,Dakahlia,Total,Total,19328,3710,928,6929,311,2506,2075,2869
6,Sharqia,Total,Total,21112,5055,922,7859,590,2253,1140,3294
7,Qalyubia,Total,Total,19361,5175,785,6600,373,2932,1339,2158
8,Kafr ElSheikh,Total,Total,11953,2393,355,4455,444,1234,981,2091
9,Gharbia,Total,Total,17778,3992,870,6379,380,2419,1104,2633
10,Menoufia,Total,Total,14631,3586,476,5610,218,1834,1226,1682
11,Beheira,Total,Total,20354,3116,673,7011,399,3187,1528,4438
12,Ismailia,Total,Total,4748,1309,205,1870,96,647,277,343
13,Giza,Total,Total,28370,6160,1533,8803,929,4864,2452,3630
14,Beni Suef,Total,Total,11115,1778,281,3908,118,1233,556,3241
15,Fayoum,Total,Total,10315,1086,285,3768,106,1492,950,2628
16,Minya,Total,Total,17601,2235,387,7644,181,2473,1249,3431
17,Asyut,Total,Total,12341,1735,411,4547,207,2033,1257,2152
18,Sohag,Total,Total,13302,2201,426,4543,321,2057,1199,2555
19,Qena,Total,Total,8653,1653,375,3871,297,1114,491,853
20,Aswan,Total,Total,4864,995,327,2270,172,629,227,244
21,Luxor,Total,Total,3911,771,219,1839,113,469,196,303
22,Red Sea,Total,Total,1426,496,101,521,21,121,65,102
23,New Valley,Total,Total,815,278,47,388,20,42,20,20
24,Matruh,Total,Total,1233,108,49,297,19,331,130,300
25,South Sinai,Total,Total,512,131,37,201,16,59,51,16
26,North Sinai,Total,Total,2000,700,400,300,300,100,100,100
