Governorate,public_teachers_numbers_2022,public_students_numbers_2022,public_teachers_numbers_2023,public_students_numbers_2023,private_teachers_numbers_2022,private_students_numbers_2022,private_teachers_numbers_2023,private_students_numbers_2023
Cairo,9500,188305,8805,189024,4437,104234,4374,114347
Alexandria,4864,103426,4569,111067,1918,44033,1948,46369
Port Said,1193,12791,1146,13267,78,2545,93,2640
Suez,728,8778,676,9065,137,2831,139,2973
Damietta,2503,33864,2392,34952,40,2768,44,3996
Dakahlia,5755,136148,5428,142263,330,9751,430,12093
Sharqia,8090,134354,7648,146495,410,16688,404,17412
Qalyubia,6091,101655,5939,107673,589,31952,678,33626
Kafr ElSheikh,3793,64190,3683,69951,28,4900,15,5465
Gharbia,5320,93463,4991,99603,222,11075,243,13745
Menoufia,4903,92538,4665,93913,87,6442,85,9321
Beheira,3723,80665,3633,87526,117,20166,103,22689
Ismailia,1385,23504,1317,24293,88,4705,101,5590
Giza,5807,174096,5635,173625,2001,56895,2110,68513
Beni Suef,2528,41497,2456,41846,93,7911,103,8886
Fayoum,1852,37795,1843,39371,114,9257,146,10638
Minya,4781,80589,4672,77872,65,6712,69,9066
Asyut,3638,59829,3467,62749,161,12548,161,12957
Sohag,3209,62511,3082,65355,240,9923,268,13941
Qena,2889,40087,2831,40961,24,1932,20,2466
Luxor,969,16356,922,15672,16,1635,20,2091
Aswan,1535,17348,1473,18961,50,1732,49,2139
Red Sea,594,7210,566,8454,90,2123,106,2305
New Valley,1027,5302,984,5363,7,84,4,121
Matruh,337,5311,341,5497,6,1055,6,1413
North Sinai,959,9722,935,10719,9,462,12,582
South Sinai,317,2650,328,3061,31,321,34,468
