city,أدبي,علمي رياضة,علمي علوم,total_mean
اسوان,55.1197607421875,57.94933810375671,58.79835827768823,57.28915237454415
اسيوط,54.7407932196023,57.703721052631586,59.630377256804096,57.35829717634599
الإسماعيلية,62.24565580859037,72.46767295597485,67.65061799038682,67.45464891831735
الاسكندرية,60.984520715262846,65.36845027067191,63.94966820542412,63.434213063786295
الاقصر,55.38567655236329,57.95604534005037,58.980665853658536,57.4407959153574
البحر الأحمر,60.32240974729242,64.24200483091788,63.98119161105816,62.84853539642282
البحيرة,59.67078845942078,67.78455130957492,65.78121966941389,64.41218647946987
الجيزة,55.68214342001576,60.6586690647482,58.29428315412186,58.21169854629528
الدقهلية,65.50148072161302,75.77838349905939,75.97362290076336,72.4178290404786
السويس,62.00332472562943,63.95541448058762,63.48769607843137,63.148811761549474
الشرقية,62.11068325526932,72.432189888301,71.78725948774013,68.77671087710348
الغربية,63.2371889596603,73.09621994481671,71.94812176445211,69.42717688964304
الفيوم,54.72525485670321,60.07159247648903,60.46989240637285,58.42224657985503
القاهرة,58.02143496236616,63.62375772558715,63.48728618565129,61.710826291201535
القليوبية,58.09112422916776,63.934828814023554,64.3506938453126,62.12554896283464
المنوفية,59.698560569145315,69.42535661764705,68.60707130358706,65.91032949679315
المنيا,51.4120330450497,56.242227254014,58.473629119527786,55.37596313953049
الوادي الجديد,61.81341394025605,68.32600000000001,68.267261663286,66.13555853451402
بني سويف,57.075781603199445,62.92013540422142,63.13500261533633,61.0436398742524
بورسعيد,68.35205240174673,75.77376283846871,73.39200883002208,72.50594135674584
جنوب سيناء,64.7463344051447,70.84425925925926,71.1586009174312,68.91639819394506
دمياط,66.37327602905569,74.1791022778026,73.08025611838362,71.2108781417473
سوهاج,57.746712222394784,65.37883825417201,66.31935041945663,63.148300298674464
شمال سيناء,65.0730897703549,79.22158536585366,75.94947101142616,73.4147153825449
قنا,57.31998385360603,63.17452054794521,62.97735078304676,61.15728506153266
كفر الشيخ,61.54582900657667,70.01840190816935,70.44059487624837,67.33494193033147
مطروح,60.8234135667396,66.7926,67.36307624113475,64.99302993595812
