Indicator,Unit,Governorate,Region,Year,Agriculture,Crude Petroleum Extraction,Other extractions,Petroleum Refinement,Manufacturing Industries,Electricity and Gas,Water,Sewerage,Waste Recycling,Construction,Whole sale and Retail Trade,Communication,Information,Transportation and Storage,Accommodation and Food Service Activities,Real Estate Ownership,Business Services,Education,Health,Other Services,Non Financial Corporations,Financial Corporations,General Government,Non Profit Institutions Serving House hold Sector,DomesticWorkers,Total Governorate GDP,CustomFees,Total GDP Egypt With CustomFees
"Regional accounts , GDP by governorate",One thousand EGP,Cairo,Greater Cairo,2021/2020,16623227.7,3931.56,49964456.7,24863421.47,189671312.2,37047574.42,1441434.64,1056400.69,6308377.92,78441435.32,357397546.1,63917729.72,14617532.16,172268888.3,21781701.46,135239999.4,134407410.3,46530857.97,76384494.69,21846958.17,1449814691,146094496,265926403.4,13554384.96,1259867.27,1876649843,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Giza,Greater Cairo,2021/2020,30705607.97,0,332398.56,2738391.61,179312792.6,6636706.51,1471750.46,526592.01,3401383.63,60316150.4,104882750.7,38130326.11,12494852.74,24998302.4,16136780.88,90752173.06,45495149.16,20042479.23,23138969.7,13388270.02,674901827.8,68238746.56,23423510.1,2950533.63,556352.62,770070970.7,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Qalyubia,Greater Cairo,2021/2020,36618842.5,0,641992.21,26904900.51,108110800.1,1619261.89,1153068.57,6383.23,2214098.55,18818914.87,52737633.68,1803961.99,327301.66,17499716.9,8890516.03,19080033.96,4322538.47,12699727.24,9087049.64,6030624.65,328567366.6,1913018.95,8282207.56,294824.19,258433.16,339315850.5,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Asyut,Central Upper Egypt,2021/2020,21695314.58,0,22123.88,12079907.52,12442416.82,505732.36,234443.92,44727.54,241025.92,27144397.23,17999222.66,385692.32,51545.07,3223756.92,1063721.45,6933273.02,3740214.22,2722359.6,2862238.58,1323860.66,114715974.3,2869706.22,8452503.38,61561.12,43072.69,126142817.7,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,New Valley,Central Upper Egypt,2021/2020,8431484.48,348881.11,13366.94,0,575911.97,12229.02,9626.23,17216.15,188.99,935399.34,1030718.6,21096.18,2738.17,190534.57,152044.85,1350563.36,875442.23,151980.92,147385.34,82574.35,14349382.8,727625.75,1880045.17,6249.84,0,16963303.56,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Suez,Suez Canal,2021/2020,3953345.3,0,231388.08,21590013.47,39807222.25,15176210.55,291078.64,4344.77,68152.41,7358773.17,6742579.97,90079.28,24760.71,6403663.17,1635849.03,7615102.42,586333.13,1910343.79,908505.38,740331.87,115138077.4,1235499.71,2726630.18,21160.08,7178.78,119128546.2,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Ismailia,Suez Canal,2021/2020,20309670.77,0,745093.23,6791.61,16510386.14,11034664.72,104011.74,2158.1,286889.02,12941035.33,9072615.72,142075.21,5583.4,2613864.35,1440437.65,3147184.71,4315986.68,1547005.32,898760.71,924949.85,86049164.27,2124031.89,2632014.41,201980.29,120060.49,91127251.34,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Sharqia,Suez Canal,2021/2020,76653704.08,0,242405.59,0,91978114.44,267416.91,338668.86,43530.5,201867.09,24578847.33,37813236.05,4709973.63,217855.59,8099525.84,2844366.98,15458232.79,3782550.8,8577649.29,2322852.33,4740873.78,282871671.9,4877667.88,13744039.07,455441.73,116153.77,302064974.3,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Port Said,Suez Canal,2021/2020,19584668.27,95561757.72,60693.58,0,16468443.14,1742507.4,434190.37,-1128.06,65670.03,16879151.46,7189122.23,3027692.22,46427.96,10578499.23,1271378.53,8501452.2,772801.01,991887.17,745882.4,726145.32,184647242.2,2695745.48,2530605.99,162239.41,118449.9,190154283,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,North Sinai,Suez Canal,2021/2020,2515904.65,37134051.35,360432.47,0,1224536.96,158811.25,83649.92,-3321.26,0,839372.78,1392348.94,0,0,690000.26,45081.64,1079608.27,8074.37,239456.02,136995.44,21842.7,45926845.77,211370.82,2778374.78,13810.68,1787.21,48932189.27,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,South Sinai,Suez Canal,2021/2020,880515.77,23629974.37,414314,0,317289.3,95724.85,583582.77,-1014.89,3842.87,2365900.1,3360865.98,76074.58,16177.65,614451.67,20009338.96,1102246.51,1110316.92,329940.23,415412.06,495409.33,55820363.04,1415211.1,986060.96,155055.86,8980.96,58385671.92,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Beheira,Alexandria,2021/2020,134975168.5,961628.3,2023911.98,0,17840948.09,7568443.2,1718019.66,75524.35,168658.87,20109119.46,36291794.71,8000767.04,8896.3,9478973.09,2850976.9,18785020.36,3655203.35,4580498.54,5193311.99,3639122.62,277925987.3,1833362.09,8875411.92,99996.4,122039.3,288856797,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Alexandria,Alexandria,2021/2020,15847909.02,1789493.17,10918243.28,140236338.1,76703572.98,12060740.51,1510806.82,492630.83,798766.95,25221075.84,70300319.81,17501616.01,715675.74,41610100.09,9732021,45997204.73,10408503.06,16213641.59,24136331.42,10364291.11,532559282,15195271.31,10325479.37,7149707.42,646084.4,565875824.5,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Matruh,Alexandria,2021/2020,6941249.17,73194170.21,10169902.12,0,821576.82,24829.54,131025.76,23796.27,0,6929251.02,5648917.21,25029.66,1362.85,2308002.17,455314.88,5950713.55,113266.35,346111.19,269716.71,142006.94,113496242.4,482475.46,1547698.22,3609.36,21536.35,115551561.8,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Fayoum,North Upper Egypt,2021/2020,28614341.02,19310332.5,46241.49,2079.14,6884422.94,476060.8,621523.43,32968.88,132790.06,23984090.77,18332893.06,888620.68,753.66,2352640.22,3227975.85,12858340.86,2154330.93,2241819.53,2887359.27,2419758.2,127469343.3,1156908.44,4658365.73,90609.61,128824.55,133504051.6,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Beni Suef,North Upper Egypt,2021/2020,17406402.92,0,181259.73,0,9538433.49,2048170.92,338294.37,30422.52,124069.62,15530391.45,10811025.35,3724861.87,57657.01,5853629.88,1682760.39,6975864.58,1129077.69,2811229.96,1687707.85,869705.58,80800965.18,1418129.92,4905914.77,36269.37,32304.52,87193583.76,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Minya,North Upper Egypt,2021/2020,30543884.52,0,6721768.81,0,6860813.89,3626828.38,268216.1,10929.07,12969.01,24773903.35,21720666.1,400399.47,962.99,4871374.19,1448797.21,10566001.8,1205619.1,2320280.95,3017137.13,1752053.59,120122605.7,1978949.77,8619569.31,194044.32,61019.65,130976188.7,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Aswan,South Upper Egypt,2021/2020,14465013.4,793039.38,8224436.88,0,5793301.98,3150392.98,484678.92,2901.45,74409.64,8587332.57,9988963.52,559999.86,5779.7,2514942.89,1441507.57,9428675.46,1827292.79,509100.56,2519448.17,623113.31,70994331.03,1249135.95,3954324.35,31486.86,35893.91,76265172.1,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Luxor,South Upper Egypt,2021/2020,16273431.91,0,115981.42,0,2317273.43,349774.37,67924.71,2792.52,21740.17,8870045.82,5752714.26,103407.9,7350.92,1193274.61,1084460.12,2701536.79,1928525.88,793174.64,1098274.82,591828.38,43273512.69,998433.42,2340952.02,9270.66,11450.73,46633619.51,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Sohag,South Upper Egypt,2021/2020,21657397.83,0,210703.99,0,5748010.89,922616.65,265618.58,25715.02,226752.52,24788020.3,19779450.85,601153.14,1481.46,7015218.76,2045202.67,8110256.43,1736393.14,1237699.16,2056812.79,1673125.25,98101629.43,2199731.79,7391545.3,49434.42,14369.54,107756710.5,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Qena,South Upper Egypt,2021/2020,17138151.11,0,240915.95,0,15529487.95,863468.98,453542.98,28849.41,49777.13,13500132.19,11984152.17,187794.09,11715.51,1830427.1,375541.11,7410684.17,974652.48,870935.73,1479960.82,1008308.32,73938497.21,804584.58,5509362.34,121037.29,21524.37,80395005.8,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Red Sea,South Upper Egypt,2021/2020,5157190,27798964.16,13064.54,833287.23,472884.92,1115382.55,716329.19,-13719.13,507248.39,3097205.84,4939387.16,2384110.17,2218.91,708305.49,9180337.64,10131658.32,3341300.31,483031.05,595647.86,815748.84,72279583.44,2153679.6,1353478.42,38722.28,46662.08,75872125.82,N/A,N/A
"Regional accounts , GDP by governorate",One thousand EGP,Gharbia,Delta,2021/2020,29901547.33,0,531090.6,1400189.02,27212370.73,3435528.73,511570.35,85068.56,663813.35,18288992.75,28187040.85,3951475.52,131717.17,4758176.26,2717580.34,17707307.37,3057567.28,7252835.64,4991099.1,3421994.27,158206965.2,3816727.57,11329015.1,258875.03,151147.95,173762730.9,N/A,N/A
